web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,Rate,Seller_Name,Seller_Rating,Available_Colors,Product_SKU,Product_Description,product title,original price,discount,final price,image_1,image_3,Spec,comment count,rezayat
"1771406630-90","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-91","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-92","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-93","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-94","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-95","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-96","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-97","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-98","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-99","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-100","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-101","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-102","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-103","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-104","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-105","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-106","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-107","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-108","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-109","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-110","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-111","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-112","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-113","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-114","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-115","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-116","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-117","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-118","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-119","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-120","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-121","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-122","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-123","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-124","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-125","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-126","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-127","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-128","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-129","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-130","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-131","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
