web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,rate,Number_of_Comments,Seller_Performance_1,title_1,final price,Seller_Rating,image_3,image_7,variants,specs1,descriptiom,specs 2,bramd
"1771408498-170","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-171","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-172","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-173","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-174","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-175","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-176","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-177","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-178","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-179","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-180","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-181","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-182","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-183","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-184","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-185","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-186","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-187","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-188","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-189","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-190","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-191","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-192","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-193","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-194","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-195","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-196","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-197","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-198","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-199","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-200","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-201","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-202","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-203","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-204","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-205","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-206","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-207","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
