web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,RATE,Seller_Name,Seller_Performance,Product_Description,image_1,image_2,COMMENT COUNT,Price,Product Title,Specs 1,Specs 2,Category,Sub Category,Sub Cat 2
"1771405931-137","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-138","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-139","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-140","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-141","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-142","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-143","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-144","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-145","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-146","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-147","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-148","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-149","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-150","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-151","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-152","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-153","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-154","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-155","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-156","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-157","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-158","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-159","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-160","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-161","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-162","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-163","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-164","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-165","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-166","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-167","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-168","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-169","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-170","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-171","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-172","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-173","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-174","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-175","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-176","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-177","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-178","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-179","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-180","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-181","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-182","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-183","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-184","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-185","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
