web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,rate,Seller_Name,Seller_Performance,Product_Description,product title,original price,image_1,image_3,variant,final price,specs1,specs 2
"1771409282-108","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-109","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-110","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-111","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-112","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-113","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-114","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-115","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-116","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-117","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-118","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-119","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-120","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-121","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409284-122","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","هارد اکسترنال توشیبا مدل Canvio Ready ظرفیت 1 ترابایت دارای رابط USB Type-A","۱۰,۹۹۸,۰۰۰","","","۴.۱","تنها ۱ عدد در انبار باقی مانده","","","هارد اکسترنال توشیبا مدل Canvio Ready ظرفیت 1 ترابایت دارای رابط USB Type-Aتنها ۱ عدد در انبار باقی مانده
۴.۱۱۰,۹۹۸,۰۰۰","https://www.digikala.com/product/dkp-191602/%D9%87%D8%A7%D8%B1%D8%AF-%D8%A7%DA%A9%D8%B3%D8%AA%D8%B1%D9%86%D8%A7%D9%84-%D8%AA%D9%88%D8%B4%DB%8C%D8%A8%D8%A7-%D9%85%D8%AF%D9%84-canvio-ready-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-1-%D8%AA%D8%B1%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA-%D8%AF%D8%A7%D8%B1%D8%A7%DB%8C-%D8%B1%D8%A7%D8%A8%D8%B7-usb-type-a/","","","","","","","","","","","",""
